음식 이름,칼로리,카테고리
상추겉절이,131.0,사이드반찬
쑥갓나물무침,95.0,사이드반찬
청포묵무침,158.0,사이드반찬
해파리냉채,87.0,사이드반찬
가지나물,22.0,사이드반찬
고사리나물,44.0,사이드반찬
도라지나물,55.0,사이드반찬
무나물,35.0,사이드반찬
미나리나물,28.0,사이드반찬
숙주나물,20.0,사이드반찬
시금치나물,38.0,사이드반찬
취나물,73.0,사이드반찬
콩나물,24.0,사이드반찬
고구마줄기나물,30.0,사이드반찬
우거지나물무침,126.0,사이드반찬
골뱅이무침,107.0,사이드반찬
김무침,81.0,사이드반찬
미역초무침,25.0,사이드반찬
북어채무침,332.0,사이드반찬
회무침,312.0,사이드반찬
쥐치채,53.0,사이드반찬
파래무침,32.0,사이드반찬
홍어무침,193.0,사이드반찬
골뱅이국수무침,256.0,사이드반찬
오징어무침,250.0,사이드반찬
잡채,199.0,사이드반찬
탕평채,101.0,사이드반찬
갓김치,28.0,사이드반찬
고들빼기,55.0,사이드반찬
깍두기,18.0,사이드반찬
깻잎김치,124.0,사이드반찬
나박김치,15.0,사이드반찬
동치미,58.0,사이드반찬
배추겉절이,21.0,사이드반찬
배추김치,18.0,사이드반찬
백김치,20.0,사이드반찬
부추김치,33.0,사이드반찬
열무김치,16.0,사이드반찬
열무얼갈이김치,17.0,사이드반찬
오이소박이,17.0,사이드반찬
총각김치,18.0,사이드반찬
파김치,28.0,사이드반찬
간장게장,293.0,단일음식
마늘쫑장아찌,28.0,사이드반찬
고추장아찌,22.0,사이드반찬
깻잎장아찌,34.0,사이드반찬
마늘장아찌,16.0,사이드반찬
무장아찌,27.0,사이드반찬
양념게장,276.0,단일음식
양파장아찌,20.0,사이드반찬
오이지,11.0,사이드반찬
무피클,17.0,사이드반찬
오이피클,54.0,사이드반찬
단무지,4.0,사이드반찬
오징어젓갈,7.0,사이드반찬
명란젓,12.0,사이드반찬
생연어,110.0,메인반찬
생선물회,575.0,단일음식
광어회 ,116.0,단일음식
훈제연어,169.0,메인반찬
육회,237.0,단일음식
육사시미,204.0,단일음식
가래떡,205.0,후식
경단,304.0,후식
꿀떡,226.0,후식
시루떡,224.0,후식
메밀전병,166.0,후식
찰떡,216.0,후식
무지개떡,218.0,후식
백설기,219.0,후식
송편,235.0,후식
수수부꾸미,259.0,후식
수수팥떡,213.0,후식
쑥떡,238.0,후식
약식,232.0,후식
인절미,214.0,후식
절편,198.0,후식
증편,199.0,후식
찹쌀떡,265.0,후식
매작과,121.0,후식
다식,105.0,후식
약과,114.0,후식
유과,129.0,후식
산자,122.0,후식
깨강정,150.0,후식
