음식 이름,칼로리,카테고리
광어회 ,116.2,단일음식
훈제연어,169.0,단일음식
육회,236.556,육류
육사시미,203.55,육류
가래떡,205.042,후식
경단,303.79,후식
꿀떡,225.916,후식
시루떡,223.62,후식
메밀전병,166.141,후식
찰떡,216.185,후식
무지개떡,218.18,채소
백설기,218.82,후식
송편,234.899,후식
수수부꾸미,258.99,후식
수수팥떡,212.73,후식
쑥떡,238.06,후식
약식,232.213,후식
인절미,214.46,후식
절편,197.812,후식
증편,198.693,후식
찹쌀떡,264.74,후식
매작과,121.4775,후식
다식,105.1665,후식
약과,113.8494,후식
유과,129.06,후식
산자,121.6985,후식
깨강정,150.3,후식
